Academic Year,Semester,Course,Total Registered,Current Registered,Total Drop,Accepted Drop,Instructor,D+,D,F,A*,A,B+,B,C+,C,E,S,X,0S,18S,27S,36S,9S,16S,4S,8S,12S,45S,36A,18X,18A,W,S^,course title,telegram_file_id
2023-2024,Even,CS641,96,70,26,26,MANINDRA  AGRAWAL,3,1,,1,13,11,8,15,18,,,,,,,,,,,,,,,,,,,MODERN CRYPTOLOGY,AgACAgUAAyEGAASewoS2AAIHaWgh1h18-gdMlPfacUx7FVCNX0u0AAJ_yjEbsCkQVV6MUBUKUtWPAQADAgADdwADNgQ
2023-2024,Even,MTH204,69,63,6,5,SOMNATH  JHA,6,24,10,3,4,2,1,6,6,,,,,,,,,,,,,,,,,,,ALGEBRA I,AgACAgUAAyEGAASewoS2AAIHamgh1iNi_0YZjU9n4_YTxCNBBPY-AAKAyjEbsCkQVSyIIVsk3PvqAQADAgADdwADNgQ
2023-2024,Even,MTH699A,9,9,,,PREENA  SAMUEL,,,,2,1,3,,3,,,,,,,,,,,,,,,,,,,,PROJECT- III,AgACAgUAAyEGAASewoS2AAIHa2gh1ilKcquWAqOQMgnwfAoAAT7CegACgcoxG7ApEFX2XPGVV88nkgEAAwIAA3cAAzYE
2023-2024,Even,MTH732,26,24,2,2,Saurabh Kumar  Singh,,1,,4,7,10,2,,,,,,,,,,,,,,,,,,,,,REPRESENTATION THEORY OF FINITE GROUPS,AgACAgUAAyEGAASewoS2AAIHbGgh1jCNjQrEDGc3cSH4z0DiZSGUAAKCyjEbsCkQVS7ioIzUu23gAQADAgADdwADNgQ
2023-2024,Even,MBA735M,73,71,2,2,Jitender  Kumar,,,,,2,44,18,7,,,,,,,,,,,,,,,,,,,,STRATEGIC MARKETING,AgACAgUAAyEGAASewoS2AAIHbWgh1jZO_PM9R3_5yyrytLmxAWk2AAKDyjEbsCkQVfjJ1Bn16M7pAQADAgADdwADNgQ
2023-2024,Even,MBA746M,70,68,2,2,SUBHAS CHANDRA  MISRA,,,,2,24,27,15,,,,,,,,,,,,,,,,,,,,,E-SUPPLY CHAIN MANAGEMENT,AgACAgUAAyEGAASewoS2AAIHbmgh1jy9elOhHfasjFG0IUtbXaJuAAKEyjEbsCkQVUU0JXxoaizOAQADAgADdwADNgQ
2023-2024,Even,MBA770M,62,60,2,2,Abhinava  Tripathi,,,,10,16,13,14,7,,,,,,,,,,,,,,,,,,,,SECURITY ANALYSIS FOR INVESTMENTS,AgACAgUAAyEGAASewoS2AAIHb2gh1kLQgOmndd7qjXGgKe-ceqC2AAKFyjEbsCkQVcBIimCL_ytSAQADAgADdwADNgQ
2023-2024,Even,BSE322A,56,55,1,,NITIN  GUPTA,6,7,,1,6,6,15,7,7,,,,,,,,,,,,,,,,,,,BIOINFORMATICS & COMPUTATIONAL BIOLOGY,AgACAgUAAyEGAASewoS2AAIHcGgh1kn5uvioRFwvXM2-2LrZNkkdAAKGyjEbsCkQVVFEQW-lD1JEAQADAgADdwADNgQ
2023-2024,Even,BSE421A,45,45,,,DHIRENDRA S  KATTI,5,1,1,,9,5,13,5,6,,,,,,,,,,,,,,,,,,,TISSUE ENGINEERING,AgACAgUAAyEGAASewoS2AAIHcWgh1k_3aYTAf_gXKiz1Frukft46AAKHyjEbsCkQVZEGIBVAAjtgAQADAgADdwADNgQ
2023-2024,Even,BSE612,10,10,,,ASHOK  KUMAR,,,,5,3,,2,,,,,,,,,,,,,,,,,,,,,BIOCHEMICAL ENGINEERING,AgACAgUAAyEGAASewoS2AAIHcmgh1lUG3Uoo7BvmoQfr1HJLajKgAAKIyjEbsCkQVQOs_ApMgi8sAQADAgADdwADNgQ
2023-2024,Even,MSE205,92,92,,,ANSHU  GAUR,15,9,8,5,9,7,13,10,14,2,,,,,,,,,,,,,,,,,,PHYSICS OF MATERIALS,AgACAgUAAyEGAASewoS2AAIHc2gh1lu6Jv9F43tYgSBZchvFddUdAAKJyjEbsCkQVXsh_9Qc3_zCAQADAgADdwADNgQ
2023-2024,Even,CS661,193,186,7,7,Soumya  Dutta,,,1,5,65,32,26,45,12,,,,,,,,,,,,,,,,,,,BIG DATA VISUAL ANALYTICS,AgACAgUAAyEGAASewoS2AAIHdGgh1mHcWpKS6QMOKZEX58T9vZuZAAKKyjEbsCkQVbNJRxIVMFT1AQADAgADdwADNgQ
2023-2024,Even,AE322A,74,74,,,Dipak  Kumar Giri,9,3,2,11,16,10,12,4,7,,,,,,,,,,,,,,,,,,,AIRCRAFT CONTROL SYSTEMS,AgACAgUAAyEGAASewoS2AAIHdWgh1md0WGeNbQKAdwHB3eKijZ_gAAKLyjEbsCkQVWT4jJ89IZU8AQADAgADdwADNgQ
2023-2024,Even,DES888,38,37,1,1,Amar Kumar Behera,,,,,,,,,,,32,5,,,,,,,,,,,,,,,,AN INTRODUCTION TO PROFESSION AND COMMUNICATION SKILLS FOR DESGINNERS,AgACAgUAAyEGAASewoS2AAIHdmgh1m68DKUrO8SlGSxo-vll4dyaAAKMyjEbsCkQVQPMWjuNUSTsAQADAgADdwADNgQ
2023-2024,Even,MSE314A,84,84,,,Arunabh  Meshram,,,,3,11,24,25,19,2,,,,,,,,,,,,,,,,,,,PROCESS ENGINEERING LABORATORY,AgACAgUAAyEGAASewoS2AAIHd2gh1nRRwQ1TnV3BsvQILVGzAAGaIAACjcoxG7ApEFUu3n31QwEqSgEAAwIAA3cAAzYE
2023-2024,Even,EE681,15,15,,,YOGESH SINGH  CHAUHAN,1,,,1,1,4,3,4,1,,,,,,,,,,,,,,,,,,,COMPACT MODELING,AgACAgUAAyEGAASewoS2AAIHeGgh1nqdp19iF0v-E8dSiwABFRujegACjsoxG7ApEFUnU2eVsBn_wAEAAwIAA3cAAzYE
2023-2024,Even,EE687,64,47,17,17,SHUBHAM   SAHAY,1,1,2,3,3,16,10,7,4,,,,,,,,,,,,,,,,,,,MEMORY TECHNOLOGY AND NEUROMORPHIC COMPUTING,AgACAgUAAyEGAASewoS2AAIHeWgh1oEUhpezYvYIi91zwCiaJ0LsAAKPyjEbsCkQVcYgini0PELyAQADAgADdwADNgQ
2023-2024,Even,EE698N,42,36,6,6,BAQUER  MAZHARI,1,,,,5,6,10,7,7,,,,,,,,,,,,,,,,,,,INTRODUCTION TO FLEXIBLE ELECTRONICS,AgACAgUAAyEGAASewoS2AAIHemgh1oegVkV-LFmu4Y52t5Ofr5kZAAKQyjEbsCkQVY9_WUwqwwKQAQADAgADdwADNgQ
2023-2024,Even,BSE644,43,42,1,1,Nitin   Mohan,4,3,1,1,10,8,2,8,6,,,,,,,,,,,,,,,,,,,OPTICAL MICROSCOPY & BIOIMAGING,AgACAgUAAyEGAASewoS2AAIHe2gh1o1Gjed7g9fgiddQDY7PiAW4AAKRyjEbsCkQVflS7hTKWaC3AQADAgADdwADNgQ
2023-2024,Even,BSE662,67,65,2,2,Arjun   Ramakrishnan,,1,,2,15,21,16,6,4,,,,,,,,,,,,,,,,,,,DECISION MAKING AND THE BRAIN,AgACAgUAAyEGAASewoS2AAIHfGgh1pOoe8GgKok-RV0JSwhB-ELOAAKSyjEbsCkQVRnX870wEj5VAQADAgADdwADNgQ
2023-2024,Even,ME851,8,7,1,1,ANUPAM  SAXENA,,,,,,,5,2,,,,,,,,,,,,,,,,,,,,COMPLIANT MECHANISMS,AgACAgUAAyEGAASewoS2AAIHfWgh1plekZJLwgprEOF_aM7EBmd5AAKTyjEbsCkQVVF3tQcccRwEAQADAgADdwADNgQ
2023-2024,Even,MS605,21,21,,,Pritam  Chakraborty,,,1,,1,3,9,5,2,,,,,,,,,,,,,,,,,,,MATERIALS ENGINEERING,AgACAgUAAyEGAASewoS2AAIHfmgh1p-PTgNvIZTqWVwZadPf_pgCAAKUyjEbsCkQVTcD3ATme84hAQADAgADdwADNgQ
2023-2024,Even,CHM443,46,46,,,Apparao  Draksharapu,,,,,11,27,7,,1,,,,,,,,,,,,,,,,,,,INORGANIC CHEMISTRY LAB,AgACAgUAAyEGAASewoS2AAIHf2gh1qVwxdgf4uUjBf575Hmeq-bMAAKVyjEbsCkQVZsXx9L5DhzrAQADAgADdwADNgQ
2023-2024,Even,CHM602,11,9,2,2,RAMESH  RAMAPANICKER,2,,,3,2,1,,1,,,,,,,,,,,,,,,,,,,,ADVANCED ORGANIC CHEMISTRY II,AgACAgUAAyEGAASewoS2AAIHgGgh1qyHTD1EIu92MkKwYSVXyv0AA5bKMRuwKRBVmHAVKRjksY4BAAMCAAN3AAM2BA
2023-2024,Even,DES623,37,37,,,SATYAKI  ROY,,,,6,22,9,,,,,,,,,,,,,,,,,,,,,,TOPICS IN MOTION PICTURES,AgACAgUAAyEGAASewoS2AAIHgWgh1rIcZo_hmGPHFP1b7JMjmsp1AAKXyjEbsCkQVZsl2MSm_e2OAQADAgADdwADNgQ
2023-2024,Even,DES634,61,56,5,5,Gowdham Prabhakar P G,1,,,6,20,18,7,4,,,,,,,,,,,,,,,,,,,,ELECTRONICS FOR DESIGNERS,AgACAgUAAyEGAASewoS2AAIHgmgh1rgjMXf3RDOnj2VFeLnBboj8AAKYyjEbsCkQVUzONRNHISDuAQADAgADdwADNgQ
2023-2024,Even,PHY210M,46,46,,,Koushik  Pal,4,3,1,3,12,3,6,5,9,,,,,,,,,,,,,,,,,,,THERMAL PHYSICS,AgACAgUAAyEGAASewoS2AAIHg2gh1r5sn0h_qjOkaqOUoqxWhpVqAAKZyjEbsCkQVUrNco9GwvesAQADAgADdwADNgQ
2023-2024,Even,MSE203,103,103,,,Shikhar   Krishn Jha,6,6,4,1,7,17,20,19,13,,,,,,,,,,,,,,,,,,,STRUCTURE & CHARACTERIZATION OF MATERIALS,AgACAgUAAyEGAASewoS2AAIHhGgh1sSY5sHShLocORhTNP9IaROkAAKayjEbsCkQVTaabgc0n34sAQADAgADdwADNgQ
2023-2024,Even,CGS612,12,9,3,3,Sharika  KM,,,,1,6,2,,,,,,,,,,,,,,,,,,,,,,EYE-TRACKING AND VR AS TOOLS IN COGNITIVE SCIENCE,AgACAgUAAyEGAASewoS2AAIHhWgh1srW9exzNfYoc1Xbc7lnsOlrAAKbyjEbsCkQVRNEnGPn7AABvQEAAwIAA3cAAzYE
2023-2024,Even,CGS621,182,177,5,5,ARK  VERMA,10,13,1,4,18,43,39,30,17,3,,,,,,,,,,,,,,,,,,INTRODUCTION TO PSYCHOLINGUISTICS,AgACAgUAAyEGAASewoS2AAIHhmgh1tDYls1JVyGLzEEfqnp-kOJSAAKcyjEbsCkQVdyyuKEy-Xw8AQADAgADdwADNgQ
2023-2024,Even,AE211,83,75,8,7,Arun  Kumar  Perumal,13,11,2,,5,5,5,16,15,3,,,,,,,,,,,,,,,,,,INCOMPRESSIBLE AERODYNAMICS,AgACAgUAAyEGAASewoS2AAIHh2gh1tcg92_POVkrv-p9KmZZ27qjAAKdyjEbsCkQVQzaWsEkggcEAQADAgADdwADNgQ
2023-2024,Even,AE233M,71,70,1,1,ABHISHEK .,22,3,6,1,5,6,7,10,10,,,,,,,,,,,,,,,,,,,INTRODUCTION TO VIBRATIONS,AgACAgUAAyEGAASewoS2AAIHiGgh1t2nqFGASrhVJ1NslROpvrB3AAKeyjEbsCkQVf736yt6vdO5AQADAgADdwADNgQ
2023-2024,Even,ECO111,206,138,68,67,Bikramaditya  Datta,6,,3,2,3,47,38,23,16,,,,,,,,,,,,,,,,,,,"ECONOMY, SOCIETY & PUBLIC POLICY",AgACAgUAAyEGAASewoS2AAIHiWgh1uP2zYOoNiKHTUGpoJwowtsuAAKfyjEbsCkQVYti9BDyY2pNAQADAgADdwADNgQ
2023-2024,Even,CHE652,53,30,23,23,Ishan  Bajaj,6,1,,2,5,4,8,1,3,,,,,,,,,,,,,,,,,,,OPTIMIZATION,AgACAgUAAyEGAASewoS2AAIHimgh1umOme5eppJ27ymAscCmauovAAKgyjEbsCkQVctRE4PKoPOOAQADAgADdwADNgQ
2023-2024,Even,CHE667,54,41,13,12,VISWANATHAN  SHANKAR,3,1,,3,3,7,9,9,6,,,,,,,,,,,,,,,,,,,PRINCIPLES OF NON NEWTONIAM FLUID MECHANICS,AgACAgUAAyEGAASewoS2AAIHi2gh1u-wuBMqeavlyPCjXDDhQ13nAAKhyjEbsCkQVatxg44l_yEIAQADAgADdwADNgQ
2023-2024,Even,MBA618,99,98,1,1,VEENA  BANSAL,,4,,,20,28,42,4,,,,,,,,,,,,,,,,,,,,"GLOBALIZATION , STATE & CORPORATIONS",AgACAgUAAyEGAASewoS2AAIHjGgh1vbKDfuZwyRnbOzkmMY6OQNAAAKiyjEbsCkQVWfPOclosQrrAQADAgADdwADNgQ
2023-2024,Even,PHI481A,77,74,3,3,PRASHANT BHALCHANDRA  BAGAD,10,8,5,2,6,7,12,13,11,,,,,,,,,,,,,,,,,,,EXISTENTIALISM,AgACAgUAAyEGAASewoS2AAIHjWgh1vz3RLHVVuEzRGm4un0ByfkjAAKjyjEbsCkQVYr9UlE2hGwrAQADAgADdwADNgQ
2023-2024,Even,MTH628,74,72,2,2,APARNA DAR,,,,42,15,7,3,4,1,,,,,,,,,,,,,,,,,,,TOPICS IN TOPOLOGY,AgACAgUAAyEGAASewoS2AAIHjmgh1wLL07xLGEUoyuoogovWAlFrAAKkyjEbsCkQVbxjCckWj6fqAQADAgADdwADNgQ
2023-2024,Even,CE252,157,155,2,2,Gaurav    Tiwari,20,24,6,,7,17,26,36,19,,,,,,,,,,,,,,,,,,,SOIL MECHANICS,AgACAgUAAyEGAASewoS2AAIHj2gh1winPtdK3Pt2iAK2kpA1dHIhAAKlyjEbsCkQVSBAdquy78PoAQADAgADdwADNgQ
2023-2024,Even,MTH636,70,58,12,12,Soumyarup  Sadhukhan,6,3,,4,10,8,14,7,6,,,,,,,,,,,,,,,,,,,GAME THEORY,AgACAgUAAyEGAASewoS2AAIHkGgh1w6vGa4ht4Ig4o1meu5zWdppAAKmyjEbsCkQVZYwwyoAAdm54wEAAwIAA3cAAzYE
2023-2024,Even,MTH652,5,5,,,Vikramjeet Singh Chandel,,,,,,1,2,1,1,,,,,,,,,,,,,,,,,,,ADVANCED CALCULUS,AgACAgUAAyEGAASewoS2AAIHkWgh1xWz1p4RijsUiR0qAvaTHLVnAAKnyjEbsCkQVQHsYl8rHAKfAQADAgADdwADNgQ
2023-2024,Even,CHM616,64,60,4,4,M L N  RAO,,3,,17,23,5,8,,4,,,,,,,,,,,,,,,,,,,CHEMISTRY OF ORGANOMETALLIC COMPOUNDS,AgACAgUAAyEGAASewoS2AAIHkmgh1xu6UregKlN_PxDcbZySoUo4AAKoyjEbsCkQVQIHzJTLA2yCAQADAgADdwADNgQ
2023-2024,Even,CHM629,6,5,1,1,AMALENDU CHANDRA,,,,2,2,,1,,,,,,,,,,,,,,,,,,,,,PRINCIPLES OF PHYSICAL CHEMISTRY,AgACAgUAAyEGAASewoS2AAIHk2gh1yFFZRXFbAiq6a2CMoVtXuaGAAKpyjEbsCkQVdjUN5FO6EkmAQADAgADdwADNgQ
2023-2024,Even,CHM631,8,4,4,4,Ritika   Gautam,,,,,4,1,,,,,,,,,,,,,,,,,,,,,,APPLICATIONS OF MODERN INSTRUMENTAL METHODS,AgACAgUAAyEGAASewoS2AAIHlGgh1yfd0imJb-as0GVZ_LKBBAABpQACqsoxG7ApEFUod68mdw3zZwEAAwIAA3cAAzYE
2023-2024,Even,CHM636,23,19,4,4,PRATIK  SEN,,2,,3,2,3,4,4,1,,,,,,,,,,,,,,,,,,,PHYSICAL PHOTOCHEMISTRY,AgACAgUAAyEGAASewoS2AAIHlWgh1y1b94TeY21jfN3TKAzIxe0HAAKryjEbsCkQVRJfepxBQqVaAQADAgADdwADNgQ
2023-2024,Even,CHM648,10,10,,,JITENDRA  KUMAR  BERA,,,,3,4,,2,,,,,,,,,,,,,,,,,,,,,THE CHEMISTRY OF METAL-CARBON BOND: STRUCTURE REACTIVITY & APPLICATIONS,AgACAgUAAyEGAASewoS2AAIHlmgh1zOdzEoXYlil8H1ftwG4EbvSAAKsyjEbsCkQVQ3Yfe729UjDAQADAgADdwADNgQ
2023-2024,Even,MSE305A,84,83,1,1,Srinu  Gangolu,4,1,1,,6,17,18,21,15,,,,,,,,,,,,,,,,,,,MATERIALS PROCESSING,AgACAgUAAyEGAASewoS2AAIHl2gh1zqMI-wpf-SXAYik5iyLnoJNAAKtyjEbsCkQVaVWkKb5VI8gAQADAgADdwADNgQ
2023-2024,Even,MSE315A,98,98,,,SUDHANSHU SHEKHAR SINGH,,,,2,25,42,22,7,,,,,,,,,,,,,,,,,,,,MANUFACTURING PROCESSES LABORATORY,AgACAgUAAyEGAASewoS2AAIHmGgh10BBUg9cHE1JZBOByUE86nOkAAKuyjEbsCkQVUpkWLrqvucoAQADAgADdwADNgQ
2023-2024,Even,MBA733M,74,73,1,1,Jitender  Kumar,,,,7,30,24,12,,,,,,,,,,,,,,,,,,,,,BRAND MANAGEMENT,AgACAgUAAyEGAASewoS2AAIHmWgh10bfAwL1dsyIcVDFhALG6HvmAAKvyjEbsCkQVXuSlAvb-8KJAQADAgADdwADNgQ
2023-2024,Even,ART410A,111,107,4,4,RITWIJ  BHOWMIK,3,3,,17,35,16,16,12,4,,1,,,,,,,,,,,,,,,,,AN INTRODUCTION TO THE JAPANESE & KOREAN CINEMATIC ART,AgACAgUAAyEGAASewoS2AAIHmmgh100WhclYKy5u-oQFLRsQEtklAAKwyjEbsCkQVWeB9jlCLiNEAQADAgADdwADNgQ
2023-2024,Even,AE606,27,20,7,7,SANJAY  KUMAR,,1,,,2,5,6,1,5,,,,,,,,,,,,,,,,,,,UNSTEADY GAS DYNAMICS,AgACAgUAAyEGAASewoS2AAIHm2gh11OtzU1C9uy7oDePr5m7DoqhAAKxyjEbsCkQVd7P5-GeB2TBAQADAgADdwADNgQ
2023-2024,Even,AE608,29,28,1,1,Mohammed Ibrahim  Sugarno,6,1,,,5,4,8,3,1,,,,,,,,,,,,,,,,,,,HEAT TRANSFER IN AEROSPACE APPLICATIONS,AgACAgUAAyEGAASewoS2AAIHnGgh11nls9fGE6vrBFzkMAABux1CgwACssoxG7ApEFUF9Dmc0JmzvgEAAwIAA3cAAzYE
2023-2024,Even,AE621,39,34,5,5,Navrose,,,2,2,4,7,11,5,2,,1,,,,,,,,,,,,,,,,,TURBULENCE,AgACAgUAAyEGAASewoS2AAIHnWgh11-qPHIEYkWKCr8dibFtGam8AAKzyjEbsCkQVaDfnRTMwgZbAQADAgADdwADNgQ
2023-2024,Even,CE614,26,23,3,3,Tushar  Apurv,3,3,,,4,2,1,10,,,,,,,,,,,,,,,,,,,,STOCHASTIC HYDROLOGY,AgACAgUAAyEGAASewoS2AAIHnmgh12ZLZ4R9iXzcc41nJbzd6xVaAAK0yjEbsCkQVZtCkvuW1GXcAQADAgADdwADNgQ
2023-2024,Even,CE622,11,11,,,Amar Nath Roy  Chowdhury,,,,1,1,5,3,1,,,,,,,,,,,,,,,,,,,,Stability of Structures,AgACAgUAAyEGAASewoS2AAIHn2gh12wLnS9xM3cOzbqTpwAB83M7qQACtcoxG7ApEFUl_MOO2TTj3QEAAwIAA3cAAzYE
2023-2024,Even,CE632,11,11,,,PRIYANKA  GHOSH,1,,,,1,2,3,4,,,,,,,,,,,,,,,,,,,,FOUNDATION ANALYSIS AND DESIGN,AgACAgUAAyEGAASewoS2AAIHoGgh13OBu9ohXpnYSMcgWltQQNYAA7bKMRuwKRBV2VCSipylwXcBAAMCAAN3AAM2BA
2023-2024,Even,ENG466A,85,76,9,9,Syed Feroz  Hassan,6,6,2,2,17,12,13,11,7,,,,,,,,,,,,,,,,,,,WORLD CINEMA AFTER WORLD WAR II,AgACAgUAAyEGAASewoS2AAIHoWgh13lW6oYfrt00K1cp3VuUT5vOAAK3yjEbsCkQVcs5JZN4B351AQADAgADdwADNgQ
2023-2024,Even,ENG401A,92,91,1,1,Chinmay Vijay Dharurkar,6,7,1,5,14,19,17,10,12,,,,,,,,,,,,,,,,,,,A LINGUISTIC HISTORY OF INDIA,AgACAgUAAyEGAASewoS2AAIHomgh13-0g_Cva7AN3_ztafmFvH_UAAK4yjEbsCkQVTgqUwSsYQi3AQADAgADdwADNgQ
2023-2024,Even,ENG423A,91,88,3,3,Sh Francis  Monsang,2,,1,7,14,30,23,11,,,,,,,,,,,,,,,,,,,,CURRENT ISSUES IN LINGUISTICS,AgACAgUAAyEGAASewoS2AAIHo2gh14WCNfD8HqvK4YVH-zS-z6OFAAK5yjEbsCkQVdHU8opgmWm_AQADAgADdwADNgQ
2023-2024,Even,MSE204A,58,48,10,10,VIVEK  VERMA,,1,,2,8,15,8,9,4,,1,,,,,,,,,,,,,,,,,INTRODUCTION OF BIOMATERIALS,AgACAgUAAyEGAASewoS2AAIHpGgh14wj2k0ldavGrN43TrqpxNgUAAK6yjEbsCkQVVnJmiL8EcONAQADAgADdwADNgQ
2023-2024,Even,MBA617,61,59,2,2,RAHUL  VARMAN,3,,,1,10,15,6,10,14,,,,,,,,,,,,,,,,,,,SOCIAL POLITICAL AND LEGAL ENVIRON OF BUSINESS,AgACAgUAAyEGAASewoS2AAIHpWgh15JYHVUzNyOlbVQcoBd_-TbjAAK7yjEbsCkQVQzVenXNsmnBAQADAgADdwADNgQ
2023-2024,Even,MTH204B,54,51,3,1,Narasimha Chary Bonala,8,9,12,1,2,4,2,8,5,,,,,,,,,,,,,,,,,,,ABSTRACT ALGEBRA,AgACAgUAAyEGAASewoS2AAIHpmgh15hmmoSDWk2VVYKvPuvczv6eAAK8yjEbsCkQVUSR7ldDEWgkAQADAgADdwADNgQ
2023-2024,Even,MTH209,92,92,,,SUBHAJIT  DUTTA,20,11,1,1,2,7,17,10,19,4,,,,,,,,,,,,,,,,,,DATA SCIENCE LAB 2,AgACAgUAAyEGAASewoS2AAIHp2gh157o55Gb38ipw0epEBbPL2dtAAK9yjEbsCkQVf41PePd-ZChAQADAgADdwADNgQ
2023-2024,Even,ART406A,161,161,,,SHATARUPA THAKURTA  ROY,12,12,,1,40,27,26,27,16,,,,,,,,,,,,,,,,,,,ART CRITICISM: THEORY AND PRACTICE,AgACAgUAAyEGAASewoS2AAIHqGgh16VvEX-17nDHkDJcu4gVKRZhAAK-yjEbsCkQVXToBsFGZ53lAQADAgADdwADNgQ
2023-2024,Even,EE311A,55,51,4,4,ALOKE KUMAR DUTTA,10,4,,4,7,12,2,7,5,,,,,,,,,,,,,,,,,,,MICROELECTRONICS II,AgACAgUAAyEGAASewoS2AAIHqWgh16uF7LesjY6G312FfZb6dbn1AAK_yjEbsCkQVXr-DmoKhh-8AQADAgADdwADNgQ
2023-2024,Even,ECO714,52,40,12,12,Srinivas Kumar Arigapudi,6,4,4,,2,3,3,9,8,,,1,,,,,,,,,,,,,,,,GAME THEORY APPLICATIONS,AgACAgUAAyEGAASewoS2AAIHqmgh17GPa0J143eNtBhmo7kdSs71AALAyjEbsCkQVSQjuSHs1420AQADAgADdwADNgQ
2023-2024,Even,ECO755,23,20,3,3,PRAVEEN  KULSHRESHTHA,,1,,,4,5,4,3,3,,,,,,,,,,,,,,,,,,,CONTRACT THEORY,AgACAgUAAyEGAASewoS2AAIHq2gh17jHTLVH0dae8kzimrynQaq2AALByjEbsCkQVTl7LQSPxUa8AQADAgADdwADNgQ
2023-2024,Even,ES667,21,18,3,3,Rabiul Haque Biswas,2,1,2,,1,3,2,6,1,,,,,,,,,,,,,,,,,,,GEODYNAMICS,AgACAgUAAyEGAASewoS2AAIHrGgh176zjyExraWMYGnuEXbOCdFPAALCyjEbsCkQVbTVy5FaEORtAQADAgADdwADNgQ
2023-2024,Even,ES671,33,30,3,3,Govindarao  Boddepalli,,,,,6,13,7,3,,1,,,,,,,,,,,,,,,,,,MINERAL RESOURCE EXPLORATION,AgACAgUAAyEGAASewoS2AAIHrWgh18TFo46wI9Z74yWwn8jrHgc3AALDyjEbsCkQVZi0vz4ptG3UAQADAgADdwADNgQ
2023-2024,Even,MTH313M,86,83,3,3,DEBASIS  KUNDU,7,2,1,4,9,21,20,14,5,,,,,,,,,,,,,,,,,,,ELEMENTARY STOCHASTIC PROCESSES II,AgACAgUAAyEGAASewoS2AAIHrmgh18pMDq23d2A6iTzKgQq4U5KUAALEyjEbsCkQVSICoHE4TaXgAQADAgADdwADNgQ
2023-2024,Even,EE648,25,22,3,3,ANIMESH BISWAS,,,,,4,9,8,1,,,,,,,,,,,,,,,,,,,,MICROWAVE CIRCUITS,AgACAgUAAyEGAASewoS2AAIHr2gh19HJk4VKwbCxDh2qopzm13JjAALFyjEbsCkQVQABo5_xjLztoQEAAwIAA3cAAzYE
2023-2024,Even,EE654,16,14,2,2,RAMPRASAD  POTLURI,,6,,1,2,,,,5,,,,,,,,,,,,,,,,,,,ROBUST CONTROL SYSTEMS,AgACAgUAAyEGAASewoS2AAIHsGgh19fc_z7mkZhxqPPTK5eMR8l2AALGyjEbsCkQVUKGlInPUkJ3AQADAgADdwADNgQ
2023-2024,Even,CGS402,106,94,12,12,Anveshna  Srivastava,4,1,,1,12,42,24,9,1,,,,,,,,,,,,,,,,,,,APPLIED COGNITIVE SCIENCE,AgACAgUAAyEGAASewoS2AAIHsWgh1939CUgw-hXUc7RINsvG58a5AALHyjEbsCkQVaMwiOs_Q-C1AQADAgADdwADNgQ
2023-2024,Even,CGS609,56,44,12,12,Sharika  KM,,,,5,12,4,9,11,2,,,,,,,,,,,,,,,,,,,COGNITIVE NEUROSCIENCE,AgACAgUAAyEGAASewoS2AAIHsmgh1-SesGQFCC96L6GMm9bKdy-yAALIyjEbsCkQVWHmBo8Vmb62AQADAgADdwADNgQ
2023-2024,Even,MBA703,35,35,,,DPGCIME,,,,,18,6,6,5,,,,,,,,,,,,,,,,,,,,CAPSTONE PROJECT III,AgACAgUAAyEGAASewoS2AAIHs2gh1-rgJXH9Yy9iRyl4stQjrQ01AALJyjEbsCkQVa6xdnIcWkrhAQADAgADdwADNgQ
2023-2024,Even,MBA704,28,28,,,DPGCIME,,,,,14,7,4,3,,,,,,,,,,,,,,,,,,,,CAPSTONE PROJECT IV,AgACAgUAAyEGAASewoS2AAIHtGgh1_D-IQJSlRrZSH7QuzLjIODkAALKyjEbsCkQVRhKhhGBAuD9AQADAgADdwADNgQ
2023-2024,Even,MBA718M,41,36,5,5,AMIT  SHUKLA,,,,1,5,12,10,8,,,,,,,,,,,,,,,,,,,,HR ANALYTICS,AgACAgUAAyEGAASewoS2AAIHtWgh1_bkPWqFkk-N8hCx9vHpruY7AALLyjEbsCkQVSNxDjT-il1YAQADAgADdwADNgQ
2023-2024,Even,CS633,141,131,10,10,Preeti  Malakar,5,4,,6,21,40,35,9,11,,,,,,,,,,,,,,,,,,,PARALLEL COMPUTING,AgACAgUAAyEGAASewoS2AAIHtmgh1_yKP1s7JrF0j2V4x9OAQAPGAALMyjEbsCkQVQwQh9UnE_B3AQADAgADdwADNgQ
2023-2024,Even,DMS201,195,195,,,Vipin  B,8,3,,3,44,38,41,36,22,,,,,,,,,,,,,,,,,,,INTRODUCTION TO MANAGEMENT,AgACAgUAAyEGAASewoS2AAIHt2gh2AMBqeRLeqNHTQmYqD7pXJYvAALNyjEbsCkQVahgzVaeEuw-AQADAgADdwADNgQ
2023-2024,Even,CE760M,17,13,4,3,Abhijith  G R,,1,1,,2,1,2,3,1,,2,,,,,,,,,,,,,,,,,_TITLE__OFFERED,AgACAgUAAyEGAASewoS2AAIHuGgh2Aks-2ssa2f29horzAAB9nCjNwACzsoxG7ApEFUK60wB40AEFQEAAwIAA3cAAzYE
